,funded_amnt_inv,int_rate,installment,total_pymnt,total_pymnt_inv,total_rec_int,total_rec_late_fee,last_pymnt_amnt,open_rv_12m,inq_last_12m,mths_since_recent_inq,sub_grade_num,target
61,30000.0,8.81,951.35,1880.68,1880.68,413.11,0.0,951.35,4.0,0.0,19.0,31,0
62,24000.0,11.8,794.86,1566.12,1566.12,442.9,0.0,794.86,0.0,2.0,1.0,27,0
63,10000.0,14.47,235.13,458.2,458.2,227.73,0.0,235.13,0.0,1.0,7.0,24,0
64,34975.0,12.98,796.0,1554.14,1553.03,714.79,0.0,796.0,1.0,2.0,3.0,26,0
65,21775.0,12.98,733.48,1443.41,1443.41,442.13,0.0,733.48,2.0,1.0,4.0,26,0
66,8000.0,8.81,253.7,701.53,701.53,110.02,0.0,253.7,1.0,1.0,5.0,31,0
67,24000.0,14.47,825.76,1535.76,1535.76,456.57,0.0,825.76,1.0,4.0,1.0,24,0
68,13000.0,15.02,450.78,874.44,874.44,294.71,0.0,450.78,1.0,0.0,19.0,23,0
69,20000.0,13.56,460.82,891.42,891.42,419.12,0.0,468.27,5.0,7.0,3.0,25,0
70,22000.0,14.47,517.28,990.35,990.35,483.32,0.0,517.28,0.0,2.0,10.0,24,0
71,36400.0,10.33,779.32,1506.42,1506.42,570.46,0.0,779.32,0.0,2.0,2.0,30,0
72,26600.0,6.46,814.78,1605.69,1605.69,258.91,0.0,814.78,1.0,2.0,8.0,35,0
73,19400.0,10.72,632.57,1276.7,1276.7,354.07,0.0,632.57,2.0,0.0,19.0,29,0
74,3000.0,8.19,94.28,183.16,183.16,35.04,0.0,92.29,0.0,1.0,12.0,32,0
75,30000.0,12.98,1010.53,1977.79,1977.79,598.31,0.0,1010.53,1.0,1.0,12.0,26,0
76,25000.0,13.56,576.02,1114.37,1114.37,524.01,0.0,576.02,0.0,0.0,7.103783700980392,25,0
77,10000.0,17.97,361.38,746.67,746.67,320.23,0.0,410.25,4.0,2.0,7.0,20,0
78,35000.0,14.47,1204.23,2352.19,2352.19,778.38,0.0,1204.23,0.0,3.0,4.0,24,0
79,35000.0,6.46,1072.08,2119.04,2119.04,346.96,0.0,1072.08,3.0,0.0,14.0,35,0
80,13000.0,7.02,401.53,792.92,792.92,140.06,0.0,401.53,0.0,0.0,18.0,34,0
81,16200.0,24.37,469.53,895.19,895.19,611.27,0.0,469.53,0.0,3.0,1.0,14,0
82,5000.0,20.89,188.1,370.4,370.4,166.52,0.0,188.1,5.0,2.0,10.0,17,0
83,12000.0,10.33,389.07,771.25,771.25,197.25,0.0,389.07,0.0,1.0,4.0,30,0
84,16000.0,8.19,325.88,677.24,677.24,242.4,0.0,325.88,3.0,4.0,0.0,32,0
85,10000.0,20.89,269.92,528.23,528.23,334.89,0.0,269.92,5.0,0.0,7.103783700980392,17,0
86,24000.0,10.72,518.48,1008.37,1008.37,397.49,0.0,518.48,3.0,0.0,18.0,29,0
87,24000.0,15.02,571.22,1122.41,1122.41,577.38,0.0,571.22,1.0,4.0,3.0,23,0
88,34000.0,8.81,702.66,1372.04,1372.04,462.63,0.0,702.66,4.0,1.0,1.0,31,0
89,20000.0,13.56,460.82,906.57,906.57,434.28,0.0,460.82,0.0,0.0,7.103783700980392,25,0
90,29875.0,27.27,917.08,1788.9,1788.9,1307.15,0.0,917.08,1.0,3.0,4.0,11,0
91,2500.0,8.19,78.57,156.0,156.0,32.57,0.0,78.57,0.0,2.0,9.0,32,0
92,40000.0,8.19,814.7,1611.2,1611.2,524.1,0.0,814.7,0.0,0.0,17.0,32,0
93,10000.0,17.97,361.38,712.78,712.78,286.35,0.0,361.38,3.0,2.0,12.0,20,0
94,8000.0,8.81,253.7,1281.77,1281.77,82.47,0.0,865.7,0.0,0.0,21.0,31,0
95,35000.0,16.14,853.74,1676.1,1676.1,904.97,0.0,853.74,3.0,2.0,6.0,22,0
96,20000.0,8.19,407.35,805.6,805.6,262.05,0.0,407.35,0.0,0.0,7.103783700980392,32,0
97,1000.0,8.81,31.72,62.22,62.22,13.28,0.0,31.72,1.0,2.0,3.0,31,0
98,16000.0,14.47,376.21,739.56,739.56,370.8,0.0,376.21,0.0,0.0,22.0,24,0
99,24000.0,19.92,890.95,1755.34,1755.34,762.06,0.0,890.95,5.0,0.0,7.103783700980392,18,0
100,10000.0,10.33,214.1,422.46,422.46,165.32,0.0,214.1,0.0,1.0,6.0,30,0
101,10000.0,13.56,339.65,671.77,671.77,215.91,0.0,339.65,0.0,0.0,17.0,25,0
102,6500.0,16.14,228.98,452.13,452.13,167.12,0.0,228.98,2.0,7.0,3.0,22,0
103,33000.0,11.31,722.62,1507.44,1507.44,680.37,0.0,722.62,2.0,0.0,15.0,28,0
104,7200.0,7.02,222.39,441.97,441.97,80.38,0.0,222.39,0.0,1.0,7.0,34,0
105,19200.0,14.47,451.45,771.71,771.71,329.2,0.0,451.45,0.0,2.0,12.0,24,0
106,10000.0,11.31,328.86,651.44,651.44,180.01,0.0,328.86,1.0,2.0,9.0,28,0
107,12000.0,6.46,367.57,730.83,730.83,123.26,0.0,367.57,0.0,3.0,12.0,35,0
108,20000.0,7.02,617.73,1227.66,1227.66,223.27,0.0,617.73,3.0,2.0,3.0,34,0
109,3000.0,13.56,101.9,201.54,201.54,64.77,0.0,101.9,2.0,3.0,4.0,25,0
110,6500.0,8.81,206.13,410.82,410.82,91.33,0.0,207.0,0.0,3.0,6.0,31,0
111,6600.0,6.46,202.17,401.97,401.97,67.79,0.0,202.17,1.0,1.0,10.0,35,0
112,37000.0,12.98,841.49,1656.3,1656.3,768.98,0.0,841.49,1.0,1.0,0.0,26,0
113,21600.0,11.8,715.37,1345.78,1345.78,334.89,0.0,715.37,0.0,0.0,14.0,27,0
114,10000.0,15.02,238.01,467.68,467.68,240.58,0.0,238.01,1.0,2.0,0.0,23,0
115,36000.0,17.97,913.58,1791.22,1791.22,1036.65,0.0,913.58,3.0,10.0,2.0,20,0
116,5000.0,12.98,168.43,333.25,333.25,103.32,0.0,168.43,1.0,2.0,7.0,26,0
117,20000.0,26.31,602.49,1175.75,1175.75,844.17,0.0,602.49,0.0,8.0,7.0,12,0
118,30000.0,12.98,1010.53,1999.43,1999.43,619.95,0.0,1010.53,0.0,1.0,7.0,26,0
119,24000.0,16.91,595.31,1168.07,1168.07,650.23,0.0,595.31,1.0,3.0,3.0,21,0
120,1500.0,20.89,56.43,286.97,286.97,56.08,0.0,56.43,0.0,0.0,7.103783700980392,17,0
121,8000.0,8.19,251.4,499.16,499.16,104.22,0.0,251.4,1.0,3.0,6.0,32,0
122,24000.0,12.98,545.83,1074.35,1074.35,498.79,0.0,545.83,0.0,0.0,7.103783700980392,26,0
123,17000.0,7.02,525.07,1043.51,1043.51,189.78,0.0,525.07,0.0,1.0,7.0,34,0
124,30325.0,23.4,1180.21,2321.0,2321.0,1131.77,0.0,1180.21,1.0,5.0,1.0,15,0
125,13500.0,10.33,289.04,570.33,570.33,223.19,0.0,289.04,1.0,0.0,18.0,30,0
126,10000.0,16.91,356.08,693.37,693.37,260.01,0.0,356.08,1.0,6.0,4.0,21,0
127,20000.0,8.19,628.49,1247.88,1247.88,260.54,0.0,628.49,0.0,0.0,17.0,32,0
128,7975.0,12.98,269.48,527.42,525.77,159.55,0.0,269.48,1.0,4.0,4.0,26,0
129,34975.0,7.56,1089.69,2149.98,2148.44,406.12,0.0,1089.69,1.0,1.0,12.0,33,0
130,7500.0,12.98,252.64,524.21,524.21,179.32,0.0,252.64,0.0,0.0,7.103783700980392,26,0
131,20000.0,16.91,496.09,954.6,954.6,523.07,0.0,496.09,0.0,1.0,4.0,21,0
132,11000.0,16.91,272.85,525.03,525.03,287.69,0.0,272.85,1.0,0.0,23.0,21,0
133,10000.0,10.33,324.23,645.59,645.59,167.25,0.0,324.23,1.0,0.0,20.0,30,0
134,1000.0,26.31,40.46,78.0,78.0,40.52,0.0,40.46,0.0,0.0,7.103783700980392,12,0
135,10000.0,18.94,366.26,711.48,711.48,291.34,0.0,366.26,0.0,2.0,1.0,19,0
136,21000.0,12.98,477.6,924.91,924.91,421.3,0.0,477.6,3.0,1.0,5.0,26,0
137,35500.0,11.8,786.1,35744.3627777775,35744.36,244.36,0.0,35790.9,4.0,3.0,1.0,27,0
138,12800.0,8.19,260.71,509.77,509.77,161.89,0.0,260.71,4.0,3.0,10.0,32,0
139,9350.0,7.56,291.11,574.37,574.37,108.5,0.0,291.11,0.0,0.0,22.0,33,0
140,11200.0,17.97,284.23,546.1,546.1,311.34,0.0,284.23,4.0,5.0,0.0,20,0
141,15000.0,8.19,305.52,597.39,597.39,189.71,0.0,305.52,0.0,1.0,10.0,32,0
142,25000.0,15.02,595.02,1169.19,1169.19,601.44,0.0,595.02,0.0,6.0,1.0,23,0
143,25000.0,16.14,880.66,1716.49,1716.49,620.35,0.0,880.66,1.0,1.0,5.0,22,0
144,20000.0,16.91,496.09,954.6,954.6,523.07,0.0,496.09,2.0,2.0,8.0,21,0
145,6000.0,15.02,208.06,416.13,416.13,148.54,0.0,208.06,1.0,5.0,0.0,23,0
146,33500.0,15.02,797.32,1538.73,1538.73,777.98,0.0,797.32,0.0,0.0,7.103783700980392,23,0
147,16000.0,8.81,507.39,999.12,999.12,216.41,0.0,507.39,0.0,1.0,9.0,31,0
148,4000.0,11.8,132.48,259.72,259.72,72.51,0.0,132.48,3.0,3.0,5.0,27,0
149,9900.0,23.4,385.3,744.86,744.86,356.61,0.0,385.3,1.0,2.0,5.0,15,0
150,15000.0,12.98,505.27,988.91,988.91,299.16,0.0,505.27,1.0,1.0,9.0,26,0
151,19200.0,12.98,436.67,845.65,845.65,385.19,0.0,436.67,2.0,7.0,4.0,26,0
152,10000.0,16.14,352.27,991.03,991.03,205.13,0.0,500.0,2.0,1.0,6.0,22,0
153,18000.0,16.91,446.48,859.14,859.14,470.76,0.0,446.48,2.0,1.0,11.0,21,0
154,8400.0,7.56,261.53,516.0,516.0,97.47,0.0,261.53,1.0,1.0,2.0,33,0
155,18000.0,8.19,366.62,716.86,716.86,227.66,0.0,366.62,2.0,0.0,7.103783700980392,32,0
156,11000.0,16.91,272.85,535.37,535.37,298.03,0.0,272.85,0.0,1.0,12.0,21,0
157,10000.0,13.56,230.41,453.29,453.29,217.14,0.0,230.41,1.0,0.0,14.0,25,0
158,32000.0,24.37,927.47,1811.62,1811.62,1250.78,0.0,927.47,0.0,1.0,9.0,14,0
159,32000.0,14.47,752.41,1453.37,1453.37,715.86,0.0,752.41,0.0,1.0,4.0,24,0
160,35000.0,18.94,906.77,1776.71,1776.71,1062.41,0.0,906.77,1.0,2.0,5.0,19,0
161,15375.0,14.47,361.51,698.31,698.31,343.95,0.0,361.51,0.0,0.0,18.0,24,0
162,11500.0,23.4,326.84,638.73,638.73,432.62,0.0,326.84,0.0,1.0,5.0,15,0
163,15000.0,13.56,509.47,946.9,946.9,263.12,0.0,448.73,1.0,0.0,7.103783700980392,25,0
164,5500.0,8.81,174.42,346.15,346.15,77.08,0.0,174.42,0.0,0.0,14.0,31,0
165,4000.0,7.02,123.55,245.54,245.54,44.65,0.0,123.55,0.0,2.0,9.0,34,0
166,7000.0,16.14,246.59,486.9,486.9,179.97,0.0,246.59,1.0,1.0,1.0,22,0
167,5600.0,11.8,185.47,367.27,367.27,105.18,0.0,185.47,0.0,0.0,13.0,27,0
168,3000.0,13.56,101.9,201.54,201.54,64.77,0.0,101.9,0.0,1.0,2.0,25,0
169,21000.0,16.14,512.25,1005.67,1005.67,542.98,0.0,512.25,0.0,1.0,1.0,22,0
170,6000.0,14.47,206.44,408.06,408.06,138.26,0.0,206.44,0.0,4.0,4.0,24,0
171,14000.0,12.98,318.4,601.47,601.47,265.72,0.0,318.4,0.0,0.0,17.0,26,0
172,1000.0,25.34,39.94,78.47,78.47,40.43,0.0,39.94,0.0,0.0,19.0,13,0
173,13000.0,10.33,421.5,835.54,835.54,213.69,0.0,421.5,4.0,1.0,10.0,30,0
174,14400.0,8.81,456.65,871.01,871.01,166.57,0.0,456.65,2.0,2.0,10.0,31,0
175,20000.0,11.8,662.38,1311.65,1311.65,375.64,0.0,662.38,8.0,8.0,1.0,27,0
176,10000.0,7.02,308.87,613.84,613.84,111.64,0.0,308.87,1.0,6.0,3.0,34,0
177,35000.0,13.56,1188.76,2351.15,2351.15,755.67,0.0,1188.76,1.0,2.0,2.0,25,0
178,10000.0,14.47,235.13,462.22,462.22,231.75,0.0,235.13,4.0,12.0,0.0,24,0
179,30000.0,14.47,705.38,1434.88,1434.88,743.47,0.0,705.38,0.0,2.0,4.0,24,0
180,12500.0,6.46,382.89,781.48,781.48,148.58,0.0,382.89,3.0,1.0,7.0,35,0
181,34025.0,8.81,1078.98,2141.31,2141.31,476.86,0.0,1078.98,0.0,0.0,7.103783700980392,31,0
182,2500.0,16.91,89.02,175.69,175.69,67.35,0.0,89.02,2.0,1.0,12.0,21,0
183,18000.0,8.19,366.62,725.05,725.05,235.85,0.0,366.62,0.0,0.0,7.103783700980392,32,0
184,20000.0,8.19,628.49,1275.18,1275.18,287.84,0.0,628.49,1.0,2.0,8.0,32,0
185,6025.0,14.47,207.3,409.76,409.76,138.84,0.0,207.3,0.0,0.0,20.0,24,0
186,10000.0,16.91,356.08,702.77,702.77,269.41,0.0,356.08,2.0,0.0,15.0,21,0
187,40000.0,6.46,1225.24,2436.12,2436.12,410.87,0.0,1225.24,0.0,4.0,7.0,35,0
188,10000.0,11.8,221.44,436.32,436.32,188.9,0.0,221.44,0.0,0.0,14.0,27,0
189,18000.0,12.98,409.38,805.78,805.78,374.1,0.0,409.38,2.0,7.0,6.0,26,0
190,5500.0,11.31,180.88,358.3,358.3,99.0,0.0,180.88,2.0,2.0,6.0,28,0
191,20000.0,27.27,613.94,1197.58,1197.58,875.08,0.0,613.94,2.0,2.0,2.0,11,0
192,5000.0,7.02,154.44,306.93,306.93,55.82,0.0,154.44,0.0,2.0,9.0,34,0
193,23000.0,16.14,810.21,1723.54,1723.54,715.08,0.0,810.21,0.0,2.0,5.0,22,0
194,39000.0,15.02,1352.33,2867.38,2867.38,1128.2,0.0,1352.33,1.0,2.0,3.0,23,0
195,9000.0,15.02,312.08,616.65,616.65,215.29,0.0,312.08,1.0,1.0,9.0,23,0
196,13000.0,26.31,525.93,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,12,0
197,20000.0,15.02,693.51,1412.06,1412.06,520.15,0.0,693.51,1.0,9.0,2.0,23,0
198,25000.0,15.02,595.02,1169.18,1169.18,601.44,0.0,595.02,1.0,1.0,6.0,23,0
199,26900.0,18.94,985.24,1942.18,1942.18,811.99,0.0,985.24,2.0,0.0,7.103783700980392,19,0
200,12000.0,12.98,272.92,837.19,837.19,245.5,0.0,272.92,2.0,5.0,4.0,26,0
201,12000.0,25.34,479.28,1041.13,1041.13,584.59,0.0,578.74,1.0,1.0,5.0,13,0
202,15000.0,15.02,357.01,701.5,701.5,360.86,0.0,357.01,2.0,0.0,14.0,23,0
203,10000.0,14.47,344.07,680.1,680.1,230.43,0.0,344.07,2.0,2.0,10.0,24,0
204,6000.0,16.14,211.36,417.34,417.34,154.26,0.0,211.36,0.0,2.0,5.0,22,0
205,5000.0,6.46,153.16,302.73,302.73,49.56,0.0,153.16,1.0,0.0,7.103783700980392,35,0
206,5000.0,13.56,169.83,339.67,339.67,111.72,0.0,169.83,0.0,4.0,10.0,25,0
207,24000.0,15.02,571.22,1102.39,1102.39,557.36,0.0,571.22,8.0,15.0,0.0,23,0
208,10000.0,10.33,214.1,422.46,422.46,165.32,0.0,214.1,0.0,1.0,10.0,30,0
209,30000.0,8.19,942.73,1858.16,1858.16,377.16,0.0,942.73,1.0,0.0,23.0,32,0
210,25000.0,16.14,880.66,1716.49,1716.49,620.35,0.0,880.66,4.0,1.0,11.0,22,0
211,12000.0,12.98,272.92,528.53,528.53,240.74,0.0,272.92,0.0,1.0,9.0,26,0
212,5000.0,10.72,163.04,320.12,320.12,82.32,0.0,163.04,1.0,2.0,7.0,29,0
213,20000.0,10.72,652.13,1310.22,1310.22,359.06,0.0,652.13,7.0,5.0,1.0,29,0
214,11200.0,14.47,385.36,752.71,752.71,249.08,0.0,385.36,2.0,3.0,4.0,24,0
215,36000.0,13.56,829.47,1604.7,1604.7,754.58,0.0,829.47,2.0,1.0,0.0,25,0
216,12000.0,17.97,304.53,585.1,585.1,333.57,0.0,304.53,1.0,2.0,4.0,20,0
217,12000.0,17.97,433.65,927.2,927.2,415.5,0.0,433.65,2.0,2.0,3.0,20,0
218,20000.0,15.02,693.51,1353.64,1353.64,461.74,0.0,693.51,0.0,1.0,8.0,23,0
219,16000.0,7.02,494.18,975.88,975.88,172.38,0.0,494.18,0.0,0.0,7.103783700980392,34,0
220,10000.0,7.02,308.87,629.44,629.44,127.24,0.0,308.87,1.0,0.0,24.0,34,0
221,19500.0,10.72,635.83,1277.47,1277.47,350.08,0.0,635.83,0.0,4.0,6.0,29,0
222,25000.0,15.02,866.88,1838.07,1838.07,723.21,0.0,866.88,1.0,0.0,7.103783700980392,23,0
223,20000.0,10.33,428.2,885.09,885.09,370.82,0.0,428.2,2.0,2.0,3.0,30,0
224,5600.0,10.72,182.6,358.53,358.53,92.2,0.0,182.6,4.0,2.0,1.0,29,0
225,6500.0,18.94,238.07,462.46,462.46,189.37,0.0,238.07,0.0,5.0,1.0,19,0
226,24000.0,14.47,564.31,1176.85,1176.85,623.72,0.0,564.31,4.0,10.0,2.0,24,0
227,40000.0,6.46,1225.24,2421.77,2421.77,396.52,0.0,1225.24,2.0,5.0,4.0,35,0
228,1000.0,23.4,38.92,76.54,76.54,37.32,0.0,38.92,0.0,4.0,2.0,15,0
229,8000.0,7.02,247.09,487.94,487.94,86.19,0.0,247.09,4.0,4.0,4.0,34,0
230,15000.0,8.19,471.37,929.09,929.09,188.58,0.0,471.37,1.0,1.0,8.0,32,0
231,10000.0,16.14,352.27,695.57,695.57,257.1,0.0,352.27,1.0,1.0,12.0,22,0
232,6000.0,6.46,183.79,363.27,363.27,59.47,0.0,183.79,0.0,2.0,4.0,35,0
233,8500.0,8.19,267.11,726.48,726.48,104.35,0.0,267.11,2.0,4.0,1.0,32,0
234,35000.0,16.14,1232.92,2434.46,2434.46,899.87,0.0,1232.92,0.0,2.0,6.0,22,0
235,4000.0,11.8,132.48,259.72,259.72,72.51,0.0,132.48,0.0,1.0,4.0,27,0
236,8500.0,7.56,264.64,525.71,525.71,102.2,0.0,264.64,1.0,5.0,6.0,33,0
237,1975.0,6.46,61.27,476.85,470.89,24.49,0.0,111.27,1.0,1.0,0.0,35,0
238,8400.0,10.33,272.35,551.94,551.94,150.13,0.0,272.35,3.0,0.0,14.0,30,0
239,28000.0,20.89,755.77,1479.04,1479.04,937.7,0.0,755.77,1.0,1.0,12.0,17,0
240,6000.0,8.19,188.55,374.37,374.37,78.26,0.0,188.55,2.0,0.0,20.0,32,0
241,18500.0,11.8,409.66,807.19,807.19,349.46,0.0,409.66,0.0,0.0,7.103783700980392,27,0
242,18000.0,10.72,388.86,767.0,767.0,308.84,0.0,388.86,0.0,6.0,5.0,29,0
243,10000.0,8.81,317.12,629.35,629.35,140.15,0.0,317.12,3.0,1.0,2.0,31,0
244,5000.0,18.94,183.13,361.0,361.0,150.93,0.0,183.13,0.0,1.0,2.0,19,0
245,30000.0,19.92,793.49,1553.78,1553.78,957.89,0.0,793.49,0.0,2.0,0.0,18,0
246,9600.0,10.33,311.26,641.81,641.81,182.59,0.0,311.26,0.0,2.0,4.0,30,0
247,14500.0,8.19,455.65,904.7,904.7,188.89,0.0,455.65,1.0,0.0,23.0,32,0
248,21000.0,19.92,779.58,1535.92,1535.92,666.81,0.0,779.58,2.0,3.0,2.0,18,0
249,15000.0,13.56,345.62,679.94,679.94,325.71,0.0,345.62,1.0,0.0,15.0,25,0
250,2500.0,10.72,81.52,161.55,161.55,42.65,0.0,81.52,1.0,1.0,12.0,29,0
251,975.0,16.91,35.61,70.28,68.52,26.94,0.0,35.61,1.0,1.0,11.0,21,0
252,24000.0,26.31,722.99,1410.9,1410.9,1013.01,0.0,722.99,0.0,1.0,1.0,12,0
253,30000.0,20.89,809.75,2172.49,2172.49,1298.27,0.0,587.81,0.0,2.0,8.0,17,0
254,16000.0,8.19,325.88,644.48,644.48,209.64,0.0,325.88,1.0,0.0,13.0,32,0
255,10000.0,27.27,409.71,804.27,804.27,435.2,0.0,409.71,2.0,1.0,10.0,11,0
256,30000.0,12.98,682.29,1342.95,1342.95,623.5,0.0,682.29,1.0,0.0,7.103783700980392,26,0
257,7000.0,23.4,272.43,535.76,535.76,261.25,0.0,272.43,0.0,0.0,7.103783700980392,15,0
258,25000.0,8.19,785.61,1559.84,1559.84,325.67,0.0,785.61,3.0,2.0,0.0,32,0
259,5000.0,7.56,155.67,309.24,309.24,60.12,0.0,155.67,0.0,1.0,11.0,33,0
260,15000.0,18.94,388.62,1039.6,1039.6,576.76,0.0,388.62,2.0,2.0,5.0,19,0
261,10025.0,12.98,228.0,448.77,448.77,208.35,0.0,228.0,1.0,2.0,1.0,26,0
262,10000.0,19.92,371.23,786.73,786.73,372.86,0.0,371.23,1.0,4.0,0.0,18,0
